booking_id,months_as_member,hours_before,day_of_week,part_of_day,category,attended,day_of_month
70,7,54,Sat,AM,Class,1,8
71,6,26,Sun,PM,Gym,1,16
72,4,46,Tue,AM,Gym,1,11
73,5,14,Tue,AM,Class,1,11
74,7,49,Mon,AM,Class,1,10
75,43,32,Tue,PM,Gym,1,4
76,4,53,Tue,AM,Gym,0,4
77,9,7,Fri,AM,Class,1,7
78,5,35,Sun,PM,Gym,1,9
79,8,45,Mon,AM,Class,1,3
80,12,14,Tue,AM,Gym,1,4
81,21,4,Thu,AM,Class,1,13
82,9,27,Sun,AM,Gym,0,9
83,76,14,Sun,PM,Gym,1,9
84,10,40,Mon,AM,Class,0,3
85,10,37,Tue,PM,Gym,1,4
86,10,8,Fri.,AM,Gym,1,14
87,5,37,Thu,AM,Gym,1,13
88,41,27,Thu,PM,Class,1,13
89,12,10,Mon,AM,Gym,1,10
90,7,2,Thu,AM,Class,1,13
91,16,9,Mon,AM,Gym,1,10
92,10,38,Sun,AM,Class,1,9
93,29,12,Sun,PM,Gym,1,9
94,23,44,Fri,AM,Gym,1,7
95,6,9,Sat,AM,Class,1,8
96,10,2,Sun,AM,Gym,1,16
97,12,21,Wed,AM,Gym,1,12
98,43,5,Fri,AM,Gym,1,14
99,21,53,Thu,AM,Gym,1,13
100,11,47,Fri,AM,Gym,1,7
101,27,56,Fri,AM,Gym,1,7
102,17,17,Mon,AM,Class,1,3
103,8,48,Sat,PM,Class,1,8
104,27,50,Fri,AM,Class,1,7
105,11,39,Mon,PM,Gym,1,3
106,5,29,Fri,AM,Gym,1,14
107,12,34,Mon,AM,Class,1,10
108,11,26,Mon,PM,Gym,1,10
109,7,32,Sat,PM,Gym,1,15
110,5,29,Mon,AM,Gym,1,10
111,13,21,Mon,AM,Class,1,3
112,8,38,Fri,PM,Gym,1,7
113,25,30,Fri,AM,Class,1,7
114,19,6,Sat,AM,Gym,1,15
115,13,43,Mon,AM,Gym,1,10
116,14,38,Mon,AM,Class,1,10
117,4,48,Thu,AM,Gym,1,13
118,24,26,Sat,AM,Gym,1,8
119,12,40,Sun,AM,Gym,1,16
120,27,6,Thu,PM,Gym,1,13
121,4,4,Wed,AM,Gym,0,5
122,7,48,Sun,AM,Gym,1,9
123,6,2,Mon,AM,Class,1,17
124,9,2,Mon,AM,Gym,1,17
125,7,2,Mon,AM,Class,1,17
126,29,2,Monday,AM,Gym,1,17
127,28,2,Sat,AM,Gym,1,22
128,10,2,Sat,AM,Gym,1,22
129,25,2,Sat,AM,Gym,1,22
130,13,2,Sat,AM,Class,0,22
131,9,2,Sat,AM,Gym,0,22
132,5,2,Sat,AM,Gym,1,22
133,8,2,Sun,AM,Class,1,23
134,9,2,Thu,AM,Gym,1,20
135,8,2,Thu,AM,Gym,1,20
136,13,2,Thu,AM,Class,1,20
137,8,2,Thu,PM,Class,1,20
138,15,2,Thu,PM,Class,1,20
139,13,2,Thu,AM,Class,1,20
140,12,2,Thu,AM,Gym,1,20
141,18,2,Tue,AM,Gym,1,18
142,20,2,Tue,AM,Class,0,18
143,7,2,Tue,PM,Gym,1,18
144,13,2,Tue,PM,Class,1,18
145,29,2,Wed,PM,Class,1,19
146,19,2,Wed,AM,Gym,1,19
147,16,2,Wed,PM,Class,1,19
148,16,2,Fri,AM,Class,1,21
149,9,2,Fri,AM,Class,1,21
150,8,2,Fri,AM,Gym,1,21
151,4,2,Fri,AM,Gym,1,21
152,13,2,Fri,AM,Gym,1,21
153,18,2,Fri,AM,Gym,1,21
154,17,2,Mon,PM,Gym,1,17
155,11,2,Mon,AM,Gym,1,17
156,105,2,Mon,AM,Class,1,17
157,4,2,Mon,AM,Gym,1,17
158,25,2,Sat,AM,Gym,1,22
159,11,2,Sun,AM,Gym,1,23
160,18,50,Tue,AM,Class,1,4
161,9,30,Thu,AM,Gym,1,13
162,23,12,Fri.,AM,Class,1,14
163,10,13,Thu,AM,Gym,1,13
164,4,32,Wed,AM,Gym,1,12
165,28,10,Thu,PM,Gym,1,6
166,4,54,Sat,AM,Class,1,15
167,17,40,Thu,PM,Class,1,13
168,8,29,Tue,AM,Class,1,4
169,38,36,Tue,AM,Class,1,11
170,12,8,Thu,PM,Class,1,6
171,8,20,Sat,AM,Class,0,15
172,21,20,Thu,AM,Gym,1,6
173,20,8,Thu,AM,Class,1,6
174,7,20,Sun,PM,Gym,0,16
175,7,16,Thu,PM,Gym,1,6
176,11,51,Fri,AM,Class,1,14
177,7,14,Tue,PM,Class,1,4
178,10,56,Thu,PM,Class,1,13
179,39,49,Fri,AM,Gym,1,14
180,12,10,Sat,AM,Gym,1,15
181,7,45,Mon,AM,Gym,0,10
182,18,8,Fri,AM,Class,1,14
183,6,3,Tue,PM,Class,1,4
184,10,44,Wed,PM,Class,1,5
185,14,28,Wed,PM,Gym,1,5
186,7,1,Mon,PM,Gym,0,10
187,20,23,Mon,PM,Class,1,10
188,65,38,Sat,PM,Gym,1,8
189,21,53,Sat,AM,Class,1,8
190,8,4,Tue,PM,Gym,1,4
191,30,16,Mon,AM,Class,1,10
192,7,48,Sat,AM,Gym,1,8
193,6,38,Wed,PM,Gym,1,5
194,73,56,Sat,AM,Gym,1,15
195,18,18,Fri,AM,Class,1,14
196,6,47,Sun,PM,Gym,1,16
197,8,3,Mon,AM,Gym,1,3
198,8,55,Fri,AM,Gym,1,14
199,4,7,Sun,AM,Gym,1,9
200,6,50,Sat,PM,Class,1,15
201,20,29,Fri,AM,Gym,1,7
202,26,32,Fri,AM,Gym,1,7
203,54,29,Wed,PM,Gym,1,12
204,4,41,Sun,PM,Gym,1,9
205,5,12,Tue,AM,Class,1,11
206,9,45,Tue,AM,Gym,0,4
207,19,33,Mon,AM,Gym,1,10
208,6,30,Wed,PM,Gym,1,12
209,20,3,Sun,AM,Class,1,23
210,4,3,Sun,AM,Gym,1,23
211,8,3,Sun,PM,Class,1,23
212,12,3,Thu,AM,Gym,1,20
213,13,3,Thu,AM,Gym,1,20
214,13,3,Thu,AM,Gym,1,20
215,23,3,Thu,AM,Class,1,20
216,10,3,Thu,AM,Class,1,20
217,39,3,Tue,AM,Gym,1,18
218,22,3,Tue,AM,Class,1,18
219,7,3,Wed,PM,Gym,1,19
220,18,3,Wed,PM,Gym,1,19
221,20,3,Wed,AM,Class,1,19
222,4,3,Wednesday,AM,Gym,1,19
223,5,3,Fri,AM,Gym,1,21
224,7,3,Fri.,AM,Gym,1,21
225,29,3,Fri.,AM,Gym,1,21
226,111,3,Mon,AM,Gym,1,17
227,23,3,Mon,AM,Class,1,17
228,6,3,Mon,AM,Gym,1,17
229,7,3,Mon,AM,Gym,1,17
230,12,3,Mon,PM,Gym,1,17
231,41,27,Tue,AM,Gym,1,4
232,33,14,Sat,AM,Class,1,15
233,17,34,Thu,PM,Gym,1,6
234,4,24,Tue,AM,Gym,1,4
235,20,11,Mon,AM,Class,1,3
236,3,42,Thu,AM,Class,1,6
237,14,23,Sun,AM,Gym,1,9
238,20,14,Fri,AM,Gym,1,14
239,19,10,Sun,PM,Class,1,16
240,4,49,Fri,AM,Class,0,7
241,17,21,Sun,AM,Gym,1,9
242,27,52,Sat,AM,Gym,1,15
243,20,11,Fri,AM,Gym,1,14
244,34,38,Sun,AM,Class,1,16
245,6,29,Tue,AM,Class,0,11
246,8,9,Fri,AM,Class,1,14
247,9,7,Mon,AM,Class,1,3
248,14,12,Sun,AM,Class,1,9
249,20,40,Fri,AM,Class,1,14
250,34,23,Tue,PM,Gym,1,11
251,6,55,Sat,AM,Gym,1,8
252,6,23,Thu,AM,Gym,0,6
253,9,3,Sat,AM,Gym,1,15
254,6,48,Sun,AM,Gym,1,16
255,39,1,Sat,AM,Gym,1,15
256,12,33,Thu,AM,Class,1,13
257,11,4,Sun,PM,Gym,1,16
258,10,50,Mon,PM,Gym,1,3
259,23,22,Mon,AM,Class,1,3
260,41,9,Sat,PM,Gym,1,8
261,89,50,Thu,AM,Gym,1,6
262,24,31,Mon,AM,Class,1,3
263,15,1,Thu,AM,Class,1,6
264,14,51,Sun,AM,Gym,1,16
265,13,23,Thu,AM,Gym,1,6
266,13,33,Mon,AM,Class,0,10
267,16,44,Sun,AM,Class,1,9
268,57,55,Mon,PM,Gym,1,10
269,11,42,Thu,PM,Class,1,6
270,10,17,Mon,AM,Gym,1,10
271,17,26,Tue,PM,-,1,4
272,28,7,Tue,AM,Gym,1,4
273,10,30,Thu,PM,Gym,1,13
274,9,33,Mon,AM,Class,0,10
275,35,9,Sun,AM,Class,1,16
276,14,14,Fri,AM,Gym,1,14
277,22,10,Fri,AM,-,0,7
278,6,53,Mon,AM,Class,1,10
279,53,39,Tue,AM,Gym,1,11
280,50,36,Mon,AM,Gym,1,10
281,12,26,Fri,AM,Gym,1,7
282,11,3,Sat,AM,Class,1,8
283,8,1,Sun,AM,Gym,1,16
284,13,52,Wednesday,PM,Gym,1,5
285,7,45,Fri,AM,Class,1,14
286,7,19,Tue,AM,Class,1,11
287,7,4,Mon,AM,Gym,1,17
288,13,4,Mon,AM,Gym,1,17
289,7,4,Sat,AM,Class,1,22
290,12,4,Sat,AM,Gym,1,22
291,11,4,Sun,AM,-,1,23
292,16,4,Sun,AM,Class,1,23
293,23,4,Sun,AM,Class,0,23
294,16,4,Thu,AM,Gym,1,20
295,6,4,Tue,AM,Class,1,18
296,15,4,Tue,PM,Gym,1,18
297,59,4,Tue,PM,Class,1,18
298,4,4,Tue,PM,Gym,0,18
299,7,4,Tue,AM,Gym,1,18
300,5,4,Tue,AM,Gym,1,18
301,25,4,Fri,AM,Gym,1,21
302,13,4,Fri,AM,Class,1,21
303,9,4,Fri,AM,Gym,1,21
304,17,4,Fri,AM,Gym,1,21
305,12,4,Fri,AM,Gym,0,21
306,4,4,Fri.,AM,Gym,1,21
307,17,4,Fri.,AM,Gym,1,21
308,13,4,Mon,AM,Gym,1,17
309,8,4,Mon,AM,Gym,0,17
310,41,4,Mon,AM,Gym,1,17
311,93,4,Mon,AM,Gym,1,17
312,5,4,Mon,AM,Gym,0,17
313,8,4,Mon,AM,Class,0,17
314,20,4,Mon,AM,Class,1,17
315,15,29,Sun,AM,Gym,1,9
316,29,44,Sun,AM,Gym,1,16
317,5,29,Mon,AM,Gym,1,10
318,33,43,Tue,PM,Class,1,4
319,11,8,Mon,AM,Class,1,3
320,11,13,Tue,PM,Gym,1,4
321,25,14,Sat,PM,Gym,1,8
322,22,17,Sun,AM,Gym,1,9
323,5,13,Tue,AM,Class,1,4
324,32,38,Mon,AM,Gym,1,3
325,19,18,Sat,AM,Gym,1,15
326,38,7,Wednesday,AM,Class,1,5
327,19,55,Thu,AM,Gym,1,13
328,5,48,Fri,AM,Gym,1,14
329,20,37,Thu,AM,Class,1,6
330,11,8,Tue,PM,Gym,1,11
331,5,30,Wed,PM,Gym,1,12
332,9,41,Sat,PM,Gym,1,15
333,8,1,Mon,AM,-,1,3
334,28,11,Sat,AM,Gym,1,15
335,6,55,Mon,AM,Class,0,3
336,11,14,Wednesday,AM,Class,1,5
337,3,41,Sun,AM,Class,1,9
338,11,40,Sun,AM,Gym,1,9
339,18,50,Sun,AM,Gym,1,16
340,14,24,Fri,AM,Gym,1,7
341,13,42,Sat,AM,Gym,1,15
342,18,15,Sun,AM,Class,1,16
343,19,20,Sun,PM,Gym,1,16
344,3,55,Thu,AM,Gym,1,13
345,24,29,Sat,AM,Gym,1,15
346,7,40,Sun,AM,Class,1,16
347,7,47,Thu,AM,Gym,1,13
348,20,53,Fri,AM,Class,1,7
349,15,26,Fri,AM,Gym,1,7
350,5,13,Sun,AM,Gym,1,9
351,11,47,Sun,PM,Class,1,16
352,12,42,Mon,AM,Gym,0,3
353,29,40,Thu,AM,Class,1,6
354,10,49,Fri,AM,Gym,1,14
355,14,42,Mon,AM,Class,1,3
356,14,10,Sat,AM,Class,0,8
357,14,6,Thu,PM,Class,1,6
358,12,45,Wed,AM,Gym,1,12
359,6,9,Tue,AM,Gym,1,4
360,12,19,Sun,PM,Gym,0,16
361,30,24,Fri,AM,Gym,1,7
362,17,32,Fri,AM,Class,1,7
363,7,22,Thu,AM,Class,1,6
364,11,8,Tue,PM,Class,1,4
365,11,13,Sat,AM,Class,1,8
366,20,28,Thu,AM,Class,1,6
367,19,50,Sat,AM,Gym,1,15
368,15,25,Tue,AM,Class,1,11
369,4,5,Sat,PM,Gym,1,22
370,13,5,Sat,AM,Class,1,22
371,9,5,Sun,PM,Gym,1,23
372,38,5,Sun,AM,Class,1,23
373,19,5,Sun,AM,Gym,1,23
374,3,5,Thu,AM,Gym,1,20
375,9,5,Thu,AM,Gym,0,20
376,14,5,Thu,AM,Gym,1,20
377,29,5,Tue,PM,Class,1,18
378,13,5,Tue,AM,Gym,1,18
379,8,5,Tue,AM,Class,1,18
380,13,5,Wed,AM,Class,1,19
381,24,5,Wed,AM,Class,1,19
382,18,5,Wed,PM,Gym,1,19
383,7,5,Wed,AM,Class,1,19
384,15,5,Fri,AM,Class,1,21
385,5,5,Fri,PM,Class,1,21
386,27,5,Fri,AM,Class,1,21
387,10,5,Fri,AM,Class,1,21
388,7,5,Fri.,PM,Class,1,21
389,18,5,Mon,AM,Gym,0,17
390,5,5,Sat,AM,Gym,1,22
391,25,5,Sat,AM,Class,1,22
392,32,5,Sat,AM,Gym,1,22
393,4,5,Sat,AM,Gym,0,22
394,25,5,Sat,PM,Gym,1,22
395,10,5,Sat,AM,Gym,1,22
396,19,5,Sat,AM,Gym,0,22
397,30,5,Sat,AM,Gym,1,22
398,8,5,Sun,AM,Gym,1,23
399,13,5,Sun,AM,Gym,1,23
400,5,5,Sun,AM,Gym,1,23
401,11,5,Sun,PM,Class,1,23
402,33,34,Fri,AM,Gym,1,7
403,22,26,Sat,AM,Gym,1,15
404,5,43,Tue,PM,Class,1,11
405,7,42,Mon,AM,Gym,1,3
406,7,36,Mon,AM,Gym,1,3
407,18,4,Sun,AM,Class,1,9
408,15,1,Fri,AM,Gym,0,14
409,7,51,Fri,AM,Gym,1,14
410,10,46,Sun,AM,Gym,1,16
411,5,49,Wed,AM,Gym,1,12
412,16,26,Wed,PM,Gym,1,5
413,39,7,Mon,AM,Class,1,3
414,7,2,Sat,AM,Gym,1,15
415,3,30,Fri,AM,Gym,1,7
416,25,31,Sat,AM,Gym,1,15
417,7,53,Sat,AM,Gym,1,15
418,6,20,Tue,PM,Class,1,4
419,14,39,Fri,AM,Gym,1,14
420,13,52,Sat,AM,Class,1,15
421,5,23,Fri.,AM,Class,1,7
422,10,16,Sun,AM,Gym,0,16
423,15,54,Sat,AM,Class,1,8
424,42,44,Sat,AM,Gym,1,8
425,20,50,Thu,AM,Class,1,6
426,73,15,Fri.,PM,Gym,1,14
427,6,46,Fri,AM,Class,1,14
428,7,20,Mon,AM,Gym,1,3
429,12,50,Sat,AM,Gym,1,8
430,17,50,Tue,PM,Class,1,4
431,13,17,Fri,AM,Gym,1,14
432,10,16,Sat,PM,Gym,1,15
433,14,40,Fri,AM,Gym,1,7
434,10,35,Thu,PM,Class,0,6
435,22,19,Mon,AM,Class,1,10
436,111,3,Mon,AM,Gym,1,3
437,6,52,Mon,PM,Gym,1,3
438,15,24,Thu,PM,Gym,1,6
439,23,5,Fri,AM,Class,1,7
440,18,55,Mon,AM,Class,1,3
441,13,23,Sat,AM,Gym,1,15
442,25,7,Sun,PM,Class,1,9
443,3,39,Sat,AM,Class,1,15
444,8,46,Sat,AM,Gym,1,15
445,18,27,Thu,PM,Gym,1,13
446,18,38,Fri,AM,Class,1,14
447,14,34,Thu,AM,Class,1,6
448,21,48,Sun,AM,Gym,1,16
449,11,37,Tue,PM,Class,1,11
450,4,6,Sun,AM,Gym,1,23
451,7,6,Thu,PM,Gym,1,20
452,9,6,Thu,PM,Gym,1,20
453,22,6,Thu,PM,-,0,20
454,9,6,Thu,AM,Gym,1,20
455,36,6,Thu,AM,Gym,1,20
456,12,6,Thu,AM,Gym,1,20
457,35,6,Tue,AM,Gym,1,18
458,21,6,Tue,PM,Gym,1,18
459,12,6,Tue,AM,Gym,1,18
460,12,6,Tue,PM,Gym,0,18
461,7,6,Fri,AM,Gym,0,21
462,19,6,Fri,AM,Gym,1,21
463,28,6,Fri,AM,Gym,1,21
464,11,6,Fri,AM,Gym,0,21
465,14,6,Fri,AM,Gym,1,21
466,20,6,Fri,AM,Gym,1,21
467,4,6,Fri,AM,Gym,1,21
468,14,6,Mon,PM,Class,0,17
469,21,6,Mon,AM,Gym,1,17
470,9,6,Mon,PM,Gym,1,17
471,12,6,Mon,AM,Class,1,17
472,21,6,Mon,PM,Class,1,17
473,24,6,Sat,AM,Gym,1,22
474,8,6,Sat,AM,Gym,1,22
475,15,6,Sat,AM,Gym,1,22
476,12,44,Mon,AM,Gym,1,3
477,11,54,Mon,AM,Gym,1,10
478,8,30,Tue,PM,Class,1,11
479,18,36,Wednesday,PM,Gym,1,5
480,22,7,Thu,AM,-,0,13
481,12,36,Mon,AM,Gym,1,3
482,8,7,Thu,PM,Class,1,6
483,8,7,Fri,AM,Class,1,14
484,17,25,Sat,AM,Gym,1,15
485,21,30,Sun,AM,Gym,1,9
486,20,6,Wednesday,AM,Class,1,12
487,6,37,Tue,PM,Gym,1,4
488,34,24,Fri,AM,Class,1,7
489,23,4,Sun,PM,Class,1,16
490,10,19,Fri,AM,Gym,1,14
491,11,49,Sat,AM,Gym,1,15
492,8,39,Thu,PM,Gym,1,13
493,9,21,Fri,AM,Gym,1,7
494,8,17,Thu,AM,Gym,0,6
495,5,9,Sat,AM,Class,1,15
496,6,44,Thu,PM,Class,1,6
497,12,48,Wed,PM,Gym,1,5
498,10,35,Fri,AM,Gym,1,14
499,13,21,Sun,PM,Class,1,9
500,3,28,Sun,AM,Class,1,9
501,32,12,Fri,AM,Class,1,14
502,15,16,Sun,AM,Gym,1,16
503,18,34,Monday,AM,Gym,1,3
504,12,55,Tue,AM,Gym,0,4
505,18,41,Sat,AM,Gym,1,8
506,6,54,Tue,AM,Gym,0,11
507,12,1,Fri,AM,Gym,1,7
508,9,32,Sat,AM,Gym,1,8
509,7,31,Sun,AM,Gym,1,16
510,33,9,Fri,AM,Gym,1,7
511,4,54,Sun,AM,Gym,1,9
512,8,20,Wed,PM,Class,1,12
513,11,32,Mon,PM,Gym,0,3
514,5,47,Sat,AM,Gym,1,15
515,7,20,Thu,AM,Class,1,13
516,16,3,Fri,AM,Class,1,7
517,22,55,Sat,AM,Class,0,15
518,13,42,Tue,PM,Gym,1,11
519,6,48,Sun,AM,Gym,1,9
520,9,24,Thu,PM,Gym,1,13
521,37,1,Fri,AM,Gym,1,14
522,16,8,Fri,AM,Class,1,14
523,6,26,Sun,AM,Gym,1,16
524,18,13,Fri,AM,Gym,1,7
525,8,8,Fri,AM,Gym,0,7
526,18,9,Thu,PM,Gym,1,13
527,18,1,Fri,AM,Gym,0,7
528,15,33,Mon,AM,Class,1,3
529,11,54,Fri,AM,Gym,1,7
530,32,42,Mon,AM,Class,1,3
531,44,33,Mon,AM,Gym,1,3
532,25,45,Tue,AM,Gym,1,4
533,20,17,Mon,PM,Gym,1,10
534,3,45,Thu,AM,Gym,1,6
535,8,53,Mon,AM,Gym,1,10
536,29,52,Sat,AM,Gym,1,15
537,8,48,Mon,AM,Class,1,10
538,36,19,Sun,AM,Class,0,9
539,13,42,Fri,AM,Gym,0,14
540,8,45,Sat,PM,Gym,0,15
541,15,8,Thu,PM,Gym,0,13
542,50,14,Sat,PM,Gym,1,8
543,9,17,Sun,AM,Gym,1,16
544,4,31,Mon,AM,Class,1,10
545,13,56,Mon,AM,Gym,1,3
546,21,40,Mon,PM,Gym,1,3
547,105,30,Thu,AM,Class,1,13
548,7,33,Sun,PM,Class,1,9
549,8,12,Tue,AM,Gym,1,4
550,4,51,Tue,AM,Gym,1,11
551,22,7,Sun,AM,Gym,1,23
552,23,7,Sun,AM,Class,1,23
553,4,7,Sun,AM,Gym,1,23
554,8,7,Thu,AM,Class,1,20
555,8,7,Thu,PM,Class,1,20
556,11,7,Thu,AM,Class,0,20
557,8,7,Thu,AM,Gym,1,20
558,6,7,Thu,AM,Gym,1,20
559,16,7,Thu,AM,Gym,1,20
560,6,7,Tue,PM,Class,1,18
561,5,7,Tue,PM,Gym,1,18
562,40,7,Wed,PM,Class,1,19
563,13,7,Fri,AM,Class,1,21
564,13,7,Fri,AM,Class,1,21
565,13,7,Fri,AM,Gym,1,21
566,18,7,Fri,AM,Class,1,21
567,12,7,Fri,AM,Gym,1,21
568,6,7,Fri,AM,Gym,1,21
569,24,7,Mon,AM,Gym,1,17
570,39,7,Mon,AM,Gym,1,17
571,13,7,Mon,AM,Gym,0,17
572,12,7,Mon,AM,Gym,0,17
573,7,7,Sat,AM,Gym,1,22
574,16,7,Sat,AM,Class,1,22
575,13,7,Sat,AM,Gym,1,22
576,12,7,Sun,AM,Gym,1,23
577,14,7,Sun,PM,Class,1,23
578,5,7,Sun,PM,Gym,1,23
579,5,7,Sun,AM,Gym,1,23
580,8,7,Sun,AM,Gym,1,23
581,22,24,Fri,AM,Gym,1,14
582,5,47,Mon,AM,Gym,1,10
583,7,52,Thu,AM,Class,1,13
584,13,52,Sun,AM,Gym,0,9
585,7,12,Mon,AM,Gym,1,3
586,13,56,Wed,AM,Class,1,12
587,35,8,Thu,AM,Gym,1,6
588,8,8,Thu,AM,-,1,6
589,6,41,Tue,AM,Gym,0,4
590,35,8,Fri,AM,Gym,1,14
591,8,8,Fri,AM,-,1,14
592,5,14,Fri,AM,Gym,1,14
593,22,23,Mon,AM,Gym,1,3
594,6,16,Sun,PM,Gym,1,16
595,9,54,Wed,PM,Class,1,5
596,5,45,Fri,AM,Gym,1,14
597,3,16,Thu,PM,Gym,1,6
598,5,23,Sun,AM,Gym,1,9
599,25,47,Thu,PM,Class,1,6
600,5,17,Thu,AM,Class,0,13
601,11,9,Fri,AM,Class,0,7
602,16,44,Fri.,AM,Gym,1,14
603,11,44,Sun,AM,Class,1,16
604,29,25,Monday,AM,Class,1,3
605,5,31,Fri.,AM,-,1,14
606,37,5,Sat,AM,Class,1,15
607,10,22,Thu,AM,Gym,1,13
608,12,56,Sat,AM,Class,1,8
609,10,54,Mon,AM,Class,0,10
610,6,10,Fri,AM,Class,1,14
611,10,25,Monday,AM,Gym,1,10
612,12,40,Sat,AM,Class,1,8
613,6,13,Mon,AM,Class,1,10
614,11,27,Mon,AM,Class,1,10
615,19,34,Tue,PM,Class,1,4
616,11,11,Mon,AM,Gym,1,10
617,19,44,Sat,AM,Class,1,15
618,18,25,Thu,AM,Class,1,13
619,5,17,Sun,AM,Gym,1,9
620,6,36,Sat,AM,Class,0,15
621,5,38,Wed,PM,Class,0,5
622,16,33,Thu,PM,Class,1,13
623,10,38,Thu,PM,Gym,1,13
624,16,15,Wednesday,PM,Gym,1,12
625,4,54,Mon,AM,Class,1,3
626,10,8,Fri,AM,Class,1,14
627,12,22,Fri,AM,Gym,1,7
628,41,7,Tue,PM,Gym,1,4
629,4,56,Fri,AM,Gym,1,14
630,5,42,Mon,AM,Gym,1,3
631,5,14,Sat,AM,Gym,1,15
632,18,35,Sat,AM,Gym,1,8
633,7,2,Sun,AM,Gym,1,9
634,28,21,Mon,AM,Gym,1,3
635,25,42,Mon,AM,Class,1,3
636,8,41,Wednesday,PM,Gym,1,5
637,19,15,Thu,AM,Gym,1,13
638,9,20,Mon,AM,Gym,1,3
639,2,40,Mon,AM,Gym,1,10
640,19,1,Fri,AM,Gym,1,7
641,10,44,Fri,AM,Class,1,14
642,6,35,Mon,AM,Gym,1,10
643,18,12,Fri,AM,Class,1,7
644,31,43,Sun,AM,Gym,1,16
645,20,13,Fri,AM,Gym,1,7
646,21,43,Thu,AM,Class,1,6
647,8,12,Sun,AM,Gym,1,16
648,18,41,Sat,AM,Gym,1,8
649,57,37,Thu,PM,Gym,1,6
650,9,8,Sun,PM,Class,1,23
651,25,8,Sun,AM,Gym,1,23
652,35,8,Thu,AM,Gym,1,20
653,8,8,Thu,AM,-,1,20
654,10,8,Thu,PM,Class,0,20
655,25,8,Thu,AM,Gym,1,20
656,5,8,Thu,PM,Gym,1,20
657,5,8,Tue,PM,Gym,1,18
658,22,8,Wednesday,AM,Gym,1,19
659,26,8,Fri,AM,Class,1,21
660,10,8,Fri,AM,Class,0,21
661,5,8,Fri,AM,-,1,21
662,15,8,Fri,AM,Class,1,21
663,21,8,Fri,AM,Class,1,21
664,15,8,Fri,AM,Gym,1,21
665,20,8,Fri,AM,Class,1,21
666,17,8,Mon,AM,Class,1,17
667,33,8,Mon,AM,Gym,1,17
668,3,8,Mon,AM,Gym,1,17
669,37,8,Mon,AM,Gym,1,17
670,27,8,Mon,AM,Class,1,17
671,18,8,Mon,AM,Gym,1,17
672,5,8,Sat,AM,Gym,1,22
673,11,8,Sat,PM,Gym,0,22
674,23,8,Sun,AM,Gym,1,23
